i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
156,842,270900.0,163665.000,163665.000,1831.127,382457.250,111267.000,0.002,10163.793,410222.906,69306.330,4431.104,168166.525
156,842,271000.0,382457.250,163665.000,1831.127,382457.250,111267.000,0.002,10163.793,410222.906,69306.330,4431.104,168166.525
156,842,300210.0,4431.104,163665.000,1831.127,382457.250,111267.000,0.002,10163.793,410222.906,69306.330,4431.104,168166.525
156,842,300490.0,10163.793,163665.000,1831.127,382457.250,111267.000,0.002,10163.793,410222.906,69306.330,4431.104,168166.525
156,842,710812.0,0.002,163665.000,1831.127,382457.250,111267.000,0.002,10163.793,410222.906,69306.330,4431.104,168166.525
156,842,847193.0,168166.525,163665.000,1831.127,382457.250,111267.000,0.002,10163.793,410222.906,69306.330,4431.104,168166.525
156,842,847330.0,410222.906,163665.000,1831.127,382457.250,111267.000,0.002,10163.793,410222.906,69306.330,4431.104,168166.525
156,842,852520.0,111267.000,163665.000,1831.127,382457.250,111267.000,0.002,10163.793,410222.906,69306.330,4431.104,168166.525
156,842,854211.0,1831.127,163665.000,1831.127,382457.250,111267.000,0.002,10163.793,410222.906,69306.330,4431.104,168166.525
156,842,870323.0,69306.330,163665.000,1831.127,382457.250,111267.000,0.002,10163.793,410222.906,69306.330,4431.104,168166.525
484,842,270900.0,36400871.700,36400871.700,55.590,1142145.137,2813.748,36.007,4158.023,4976.064,1253620.759,820.076,6034.831
484,842,271000.0,1142145.137,36400871.700,55.590,1142145.137,2813.748,36.007,4158.023,4976.064,1253620.759,820.076,6034.831
484,842,300210.0,820.076,36400871.700,55.590,1142145.137,2813.748,36.007,4158.023,4976.064,1253620.759,820.076,6034.831
484,842,300490.0,4158.023,36400871.700,55.590,1142145.137,2813.748,36.007,4158.023,4976.064,1253620.759,820.076,6034.831
484,842,710812.0,36.007,36400871.700,55.590,1142145.137,2813.748,36.007,4158.023,4976.064,1253620.759,820.076,6034.831
484,842,847193.0,6034.831,36400871.700,55.590,1142145.137,2813.748,36.007,4158.023,4976.064,1253620.759,820.076,6034.831
484,842,847330.0,4976.064,36400871.700,55.590,1142145.137,2813.748,36.007,4158.023,4976.064,1253620.759,820.076,6034.831
484,842,852520.0,2813.748,36400871.700,55.590,1142145.137,2813.748,36.007,4158.023,4976.064,1253620.759,820.076,6034.831
484,842,854211.0,55.590,36400871.700,55.590,1142145.137,2813.748,36.007,4158.023,4976.064,1253620.759,820.076,6034.831
484,842,870323.0,1253620.759,36400871.700,55.590,1142145.137,2813.748,36.007,4158.023,4976.064,1253620.759,820.076,6034.831
124,842,270900.0,152447923.436,152447923.436,297.444,19557553.851,3585.906,57.524,35415.938,6238.660,715137.939,3029.941,1179.864
124,842,271000.0,19557553.851,152447923.436,297.444,19557553.851,3585.906,57.524,35415.938,6238.660,715137.939,3029.941,1179.864
124,842,300210.0,3029.941,152447923.436,297.444,19557553.851,3585.906,57.524,35415.938,6238.660,715137.939,3029.941,1179.864
124,842,300490.0,35415.938,152447923.436,297.444,19557553.851,3585.906,57.524,35415.938,6238.660,715137.939,3029.941,1179.864
124,842,710812.0,57.524,152447923.436,297.444,19557553.851,3585.906,57.524,35415.938,6238.660,715137.939,3029.941,1179.864
124,842,847193.0,1179.864,152447923.436,297.444,19557553.851,3585.906,57.524,35415.938,6238.660,715137.939,3029.941,1179.864
124,842,847330.0,6238.660,152447923.436,297.444,19557553.851,3585.906,57.524,35415.938,6238.660,715137.939,3029.941,1179.864
124,842,852520.0,3585.906,152447923.436,297.444,19557553.851,3585.906,57.524,35415.938,6238.660,715137.939,3029.941,1179.864
124,842,854211.0,297.444,152447923.436,297.444,19557553.851,3585.906,57.524,35415.938,6238.660,715137.939,3029.941,1179.864
124,842,870323.0,715137.939,152447923.436,297.444,19557553.851,3585.906,57.524,35415.938,6238.660,715137.939,3029.941,1179.864
156,344,271000.0,9395908.286,0,28474.547,9395908.286,140257.949,50.894,13629.323,180105.834,260.623,458.672,36782.139
156,344,300210.0,458.672,0,28474.547,9395908.286,140257.949,50.894,13629.323,180105.834,260.623,458.672,36782.139
156,344,300490.0,13629.323,0,28474.547,9395908.286,140257.949,50.894,13629.323,180105.834,260.623,458.672,36782.139
156,344,710812.0,50.894,0,28474.547,9395908.286,140257.949,50.894,13629.323,180105.834,260.623,458.672,36782.139
156,344,847193.0,36782.139,0,28474.547,9395908.286,140257.949,50.894,13629.323,180105.834,260.623,458.672,36782.139
156,344,847330.0,180105.834,0,28474.547,9395908.286,140257.949,50.894,13629.323,180105.834,260.623,458.672,36782.139
156,344,852520.0,140257.949,0,28474.547,9395908.286,140257.949,50.894,13629.323,180105.834,260.623,458.672,36782.139
156,344,854211.0,28474.547,0,28474.547,9395908.286,140257.949,50.894,13629.323,180105.834,260.623,458.672,36782.139
156,344,870323.0,260.623,0,28474.547,9395908.286,140257.949,50.894,13629.323,180105.834,260.623,458.672,36782.139
842,124,270900.0,22537265.582,22537265.582,176.954,19863599.085,8470.427,21.299,40846.705,33172.517,241642.724,8105.580,7569.299
842,124,271000.0,19863599.085,22537265.582,176.954,19863599.085,8470.427,21.299,40846.705,33172.517,241642.724,8105.580,7569.299
842,124,300210.0,8105.580,22537265.582,176.954,19863599.085,8470.427,21.299,40846.705,33172.517,241642.724,8105.580,7569.299
842,124,300490.0,40846.705,22537265.582,176.954,19863599.085,8470.427,21.299,40846.705,33172.517,241642.724,8105.580,7569.299
842,124,710812.0,21.299,22537265.582,176.954,19863599.085,8470.427,21.299,40846.705,33172.517,241642.724,8105.580,7569.299
842,124,847193.0,7569.299,22537265.582,176.954,19863599.085,8470.427,21.299,40846.705,33172.517,241642.724,8105.580,7569.299
842,124,847330.0,33172.517,22537265.582,176.954,19863599.085,8470.427,21.299,40846.705,33172.517,241642.724,8105.580,7569.299
842,124,852520.0,8470.427,22537265.582,176.954,19863599.085,8470.427,21.299,40846.705,33172.517,241642.724,8105.580,7569.299
842,124,854211.0,176.954,22537265.582,176.954,19863599.085,8470.427,21.299,40846.705,33172.517,241642.724,8105.580,7569.299
842,124,870323.0,241642.724,22537265.582,176.954,19863599.085,8470.427,21.299,40846.705,33172.517,241642.724,8105.580,7569.299
