i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
124,842,270112.0,3024815.703,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,270900.0,2508102.596,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,271000.0,15410822.376,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,271121.0,206040797.450,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,300490.0,1000.789,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,710812.0,124.107,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,847120.0,1499.570,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,847330.0,31.062,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,851730.0,14533.399,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,851790.0,6560.794,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,852520.0,5198.870,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,852810.0,2267.651,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
124,842,854211.0,31.092,2508102.596,15410822.376,1000.789,528790.571,31.092,206040797.450,1049141.253,5198.870,31.062,143.561,1499.570,124.107,2547.415,0,2267.651,293576.796,0,3024815.703,14533.399,6560.794
