population,inflation,exports,imports,income,gni,fdi,industry,agri
19262847,3.0419466709453102,28.8060954910355,36.7912681156118,5.5,1920.0,6040000,24.7271799142688,10.7463953744479
3108778,0.389437653561606,16.8417629634305,34.1692673931568,5.5,950,41200000,16.5367430578412,25.9187455195517
30346083,2.64551113392798,28.150113118469,22.7789962195023,5.5,1550,291600000,44.2390490019449,11.1069798696683
65655,3.0419466709453102,28.8060954910355,36.7912681156118,5.5,1920.0,176780594.760508,24.7271799142688,10.7463953744479
15870753,248.195902412868,28.8060954910355,36.7912681156118,5.5,330,2471460000,72.7173723137849,6.29025682837342
73821,1.12128789571148,107.703239653122,85.6318338698918,5.5,9720,51792533.3333333,13.5116060983981,1.66768177731373
36653031,3.0419466709453102,9.82717451494235,11.5555704475475,3.5,7540,23987696389.6428,26.1936304991129,4.45782610229152
3206030,0.648245760470397,20.7582469526567,49.8022321913836,7.6,590,122034000,24.7271799142688,10.7463953744479
86867,2.28037198258756,79.928664072633,84.6303501945525,5.5,18320,467541899.441341,15.5483138780804,0.383268482490272
18812264,1.48312940304038,18.3070802783446,20.749032810418,5.5,21590,2210917991.82997,24.6139288174216,3.04994624936433
7992324,0.568993765885587,39.3570378852981,38.9031024586734,5.5,27080,2974499987.6415,28.4285921580405,1.72221732211898
7982750,-8.52517000536062,27.9701199968213,41.8558448782814,5.5,600,510317000,39.1035999046383,18.3995125956928
320272,1.25424826023631,36.4568895621607,39.2458487715175,5.5,22170,149300000,11.6061307648359,1.26759041993162
692133,-1.2875879718491,78.8672455861517,62.964453222111,5.5,9080,453737837.974613,24.7271799142688,10.7463953744479
126754824,6.10669589841957,11.7586423857313,16.6292981713845,5.5,420,179603006.318605,22.3758655367007,22.6584111161909
264170,1.56006240249606,41.6860367188816,46.5049688394812,5.5,10050,47539505.12,15.2939194879569,2.33451237998989
10026738,293.678750889773,59.2033413701759,61.6317764594536,7.6,1410,444000000,34.0037421548255,12.7005575559539
10226419,1.12084823417844,64.5630595160862,60.6069310248626,5.5,25980,119692913000,24.7258443400042,1.07623533062933
232733,2.62139524582745,45.1794871794872,50.5128205128205,3.2,3990,58671500,19.5626564102564,11.3442256410256
6788589,0.326722893396868,23.0095307947819,31.3822583591138,5.5,410,9314781.87697622,18.0457037967816,24.5343349115333
61285,3.0419466709453102,28.8060954910355,36.7912681156118,5.5,1920.0,60500000,8.70000087232921,0.699999067510159
570990,6.77699393553634,32.6549090148802,53.2112969675768,5.5,560,1050274.76,36.1222941756292,24.1399748469604
